tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status
2022-11-30 16:37:20.584160,4.07592592592593,10.0,0.0,1
2022-11-30 16:37:21.624578,4.04189814814815,2.45,0.0680555555555556,1
2022-11-30 16:37:22.674534,3.99652777777778,2.45,0.181481481481481,1
2022-11-30 16:37:23.711868,3.95115740740741,2.45,0.272222222222222,1
2022-11-30 16:37:24.742770,3.90578703703704,2.45,0.340277777777778,1
2022-11-30 16:37:25.795585,3.86041666666667,2.45,0.453703703703704,1
2022-11-30 16:37:26.824783,3.81504629629629,2.45,0.544444444444444,1
2022-11-30 16:37:27.870346,3.76967592592592,2.45,0.635185185185185,1
2022-11-30 16:37:28.898972,3.72430555555555,2.45,0.725925925925926,1
2022-11-30 16:37:29.933365,3.67893518518518,2.45,0.793981481481481,1
2022-11-30 16:37:30.965883,3.63356481481481,2.45,0.907407407407407,0
2022-11-30 16:37:32.117961,3.61087962962963,10.0,0.907407407407407,0
2022-11-30 16:37:33.281011,3.61087962962963,10.0,0.907407407407407,0
2022-11-30 16:37:34.444590,3.61087962962963,10.0,0.0,1
2022-11-30 16:37:35.498802,3.57685185185185,2.45,0.160648148148148,1
2022-11-30 16:37:36.553281,3.53148148148148,2.45,0.251388888888889,1
2022-11-30 16:37:37.600363,3.48611111111111,2.45,0.319444444444444,1
2022-11-30 16:37:38.643022,3.44074074074073,2.45,0.43287037037037,1
2022-11-30 16:37:39.670306,3.39537037037036,2.45,0.523611111111111,1
2022-11-30 16:37:40.676503,3.34999999999999,2.45,0.614351851851852,1
2022-11-30 16:37:41.718897,3.30462962962962,2.45,0.705092592592592,1
2022-11-30 16:37:42.852750,3.25925925925925,2.45,0.773148148148148,1
2022-11-30 16:37:43.909342,3.21388888888888,2.45,0.909259259259259,0
2022-11-30 16:37:45.048308,3.19120370370369,10.0,0.886574074074074,1
2022-11-30 16:37:46.066388,3.15717592592592,2.45,0.886574074074074,1
2022-11-30 16:37:47.090034,3.11180555555555,2.45,0.0453703703703704,1
2022-11-30 16:37:48.094879,3.06643518518517,2.45,0.136111111111111,1
2022-11-30 16:37:49.129122,3.0324074074074,2.45,0.204166666666667,1
2022-11-30 16:37:50.192445,2.98703703703702,2.45,0.317592592592593,1
2022-11-30 16:37:51.208222,2.93032407407406,2.45,0.408333333333333,1
2022-11-30 16:37:52.235356,2.93032407407406,2.45,0.499074074074074,1
2022-11-30 16:37:53.236468,2.93032407407406,2.45,0.589814814814815,1
2022-11-30 16:37:54.244751,2.93032407407406,2.45,0.65787037037037,1
2022-11-30 16:37:55.277556,2.93032407407406,2.45,0.771296296296296,1
2022-11-30 16:37:56.303613,2.93032407407406,2.45,0.862037037037037,1
2022-11-30 16:37:57.319770,2.93032407407406,2.45,0.884722222222222,1
2022-11-30 16:37:58.352638,2.93032407407406,2.45,0.884722222222222,1
2022-11-30 16:37:59.382113,2.93032407407406,2.45,0.0,1
2022-11-30 16:38:00.410556,2.93032407407406,2.45,0.0907407407407407,1
2022-11-30 16:38:01.438339,2.93032407407406,2.45,0.158796296296296,1
2022-11-30 16:38:02.456143,2.93032407407406,2.45,0.272222222222222,1
2022-11-30 16:38:03.475611,2.93032407407406,2.45,0.362962962962963,1
2022-11-30 16:38:04.498953,2.93032407407406,2.45,0.453703703703704,1
2022-11-30 16:38:05.521734,2.93032407407406,2.45,0.544444444444444,1
2022-11-30 16:38:06.545092,2.93032407407406,2.45,0.635185185185185,1
2022-11-30 16:38:07.576108,2.93032407407406,2.45,0.725925925925926,1
2022-11-30 16:38:08.591142,2.93032407407406,2.45,0.816666666666666,1
2022-11-30 16:38:09.636211,2.93032407407406,2.45,0.907407407407407,0
2022-11-30 16:38:10.652468,2.93032407407406,2.45,0.884722222222222,1
2022-11-30 16:38:11.681654,2.93032407407406,2.45,0.884722222222222,1
2022-11-30 16:38:12.743962,2.93032407407406,2.45,0.0453703703703704,1
2022-11-30 16:38:13.823909,2.93032407407406,2.45,0.136111111111111,1
2022-11-30 16:38:14.860754,2.93032407407406,2.45,0.226851851851852,1
2022-11-30 16:38:15.913031,2.93032407407406,2.45,0.317592592592593,1
2022-11-30 16:38:16.937106,2.93032407407406,2.45,0.385648148148148,1
2022-11-30 16:38:17.963369,2.93032407407406,2.45,0.499074074074074,1
2022-11-30 16:38:19.017956,2.93032407407406,2.45,0.589814814814815,1
