2022-11-18 16:51:04.263225,10.0.0.2,10.0.0.1,SENSOR2-FL,8080,10.0
2022-11-18 16:51:04.377093,10.0.0.1,10.0.0.2,SENSOR2-FL,44818,10.0
2022-11-18 16:51:04.498977,10.0.0.1,SELF,ACTUATOR1-MV,44818,CLOSE
2022-11-18 16:51:04.502989,10.0.0.3,10.0.0.1,SENSOR3-BL,8080,0.0
2022-11-18 16:51:04.618636,10.0.0.1,10.0.0.3,SENSOR3-BL,44818,0.0
2022-11-18 16:51:04.626575,10.0.0.3,10.0.0.1,ACTUATOR1-MV,44818,OPEN
2022-11-18 16:51:05.357935,10.0.0.2,10.0.0.1,SENSOR2-FL,8080,2.45
2022-11-18 16:51:05.475084,10.0.0.1,10.0.0.2,SENSOR2-FL,44818,2.45
2022-11-18 16:51:05.480136,10.0.0.3,10.0.0.1,SENSOR3-BL,8080,0.137962962962963
2022-11-18 16:51:05.594631,10.0.0.1,10.0.0.3,SENSOR3-BL,44818,0.137962962962963
2022-11-18 16:51:05.595313,10.0.0.3,10.0.0.1,ACTUATOR1-MV,44818,OPEN
2022-11-18 16:51:06.341869,10.0.0.2,10.0.0.1,SENSOR2-FL,8080,2.45
2022-11-18 16:51:06.458985,10.0.0.1,10.0.0.2,SENSOR2-FL,44818,2.45
2022-11-18 16:51:06.463818,10.0.0.3,10.0.0.1,SENSOR3-BL,8080,0.206018518518518
2022-11-18 16:51:06.591042,10.0.0.1,10.0.0.3,SENSOR3-BL,44818,0.206018518518518
2022-11-18 16:51:06.591710,10.0.0.3,10.0.0.1,ACTUATOR1-MV,44818,OPEN
2022-11-18 16:51:07.352203,10.0.0.2,10.0.0.1,SENSOR2-FL,8080,2.45
2022-11-18 16:51:07.474505,10.0.0.1,10.0.0.2,SENSOR2-FL,44818,2.45
2022-11-18 16:51:07.479186,10.0.0.3,10.0.0.1,SENSOR3-BL,8080,0.319444444444444
2022-11-18 16:51:07.619603,10.0.0.1,10.0.0.3,SENSOR3-BL,44818,0.319444444444444
2022-11-18 16:51:07.620329,10.0.0.3,10.0.0.1,ACTUATOR1-MV,44818,OPEN
2022-11-18 16:51:08.373180,10.0.0.2,10.0.0.1,SENSOR2-FL,8080,2.45
2022-11-18 16:51:08.491532,10.0.0.1,10.0.0.2,SENSOR2-FL,44818,2.45
2022-11-18 16:51:08.503872,10.0.0.3,10.0.0.1,SENSOR3-BL,8080,0.410185185185185
2022-11-18 16:51:08.624628,10.0.0.1,10.0.0.3,SENSOR3-BL,44818,0.410185185185185
2022-11-18 16:51:08.625372,10.0.0.3,10.0.0.1,ACTUATOR1-MV,44818,OPEN
